"SitoKey";"Sistema";"Data"
"RUGABELLA46";"GENERICO";"2026-04-02"
"PALOMBINO4";"ANTINCENDIO";"2026-02-27"
"DONBOSCO14";"ANTINCENDIO";"2026-02-27"
"CLERICETTI22";"GENERICO";"2026-04-02"
"LIVIGNO3";"GENERICO";"2026-04-02"
"SASSI4";"ANTINCENDIO";"2026-02-27"
"POLESINE6";"ANTINCENDIO";"2026-02-02"
"DONORIONE2";"ANTINCENDIO";"2026-02-27"
"FANTOLI7";"ANTINCENDIO";"2026-02-27"
"POTBOLLATE";"ANTINCENDIO";"2026-02-27"
"DORIA52";"ANTINCENDIO";"2026-02-27"
"DORIA52";"GENERICO";"2026-04-02"
"SASSI4";"GENERICO";"2026-04-02"
"CALVAIRATE1";"ANTINCENDIO";"2026-02-24"
"ALDINI72";"GENERICO";"2026-04-02"
"CILEA146A";"GENERICO";"2026-04-02"
"CLERICETTI22";"ANTINCENDIO";"2026-02-27"
"VIALEJENNER44";"GENERICO";"2026-04-02"
"VIALEPICENO60";"GENERICO";"2026-04-02"
"RUGABELLA46";"ANTINCENDIO";"2026-02-27"
"FARINI9";"ANTINCENDIO";"2026-02-27"
"VIALEJENNER44";"ANTINCENDIO";"2026-02-27"
"FANTOLI7";"GENERICO";"2026-04-02"
"DONORIONE2";"GENERICO";"2026-04-02"
"ADRIANO";"GENERICO";"2026-04-02"
"FARINI9";"GENERICO";"2026-04-02"
"POTBOLLATE";"GENERICO";"2026-04-02"
"QUARENGHI21";"GENERICO";"2026-04-02"
"SANZIO9";"GENERICO";"2026-04-02"
"QUARENGHI21";"ANTINCENDIO";"2026-02-27"
"PERINI22";"GENERICO";"2026-04-02"
"PALOMBINO4";"GENERICO";"2026-04-02"
"DONBOSCO14";"GENERICO";"2026-04-02"
