"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"XX";"MANUTENZIONE";"Via A. Doria 52";"via Statuto 5 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Statuto 5";"REALE"
"02";"MANUTENZIONE";"Via Don Orione 2";"via S. Erlemblado 4d via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via S. Erlemblado 4d";"REALE"
"03";"MANUTENZIONE";"Via Farini 9";"via Padova 118 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Padova 118";"REALE"
"04";"MANUTENZIONE";"Via Rugabella 4/6";"L.go Volontari del Sangue 1 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"L.go Volontari del Sangue 1";"REALE"
"XX";"MANUTENZIONE";"Via A. Sassi 4";"C.so Plebisciti 4 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"C.so Plebisciti 4";"REALE"
"05";"MANUTENZIONE";"Via Sassi 4 P.ssa Jolanda";"via Serlio 8 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Serlio 8";"REALE"
"XX";"MANUTENZIONE";"V.le Jenner 44";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"08";"MANUTENZIONE";"Via Livigno 3";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"09";"MANUTENZIONE";"Via Calvairate 1";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"10";"MANUTENZIONE";"Via Polesine 6";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"11b";"MANUTENZIONE";"Via Adriano 99 e 107";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"12";"MANUTENZIONE";"POT Bollate";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"XX";"MANUTENZIONE";"Legnano";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"14";"MANUTENZIONE";"viale Piceno 60";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"15";"MANUTENZIONE";"via Clericetti 22";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"16";"MANUTENZIONE";"via Don Bosco 14";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"17";"MANUTENZIONE";"via Fantoli 7";"via Fantoli 7 via R. Sanzio 9 x via Cilea 146A";"Periodica";"Normativa vigente";"via Quarenghi 21";"via Aldini 72";"via Fantoli 7";"REALE"
"XX";"Elettrico";"Via A. Doria 52";"ID presidio 1 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 1";"REALE"
"02";"Elettrico";"Via Don Orione 2";"ID presidio 2 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 2";"REALE"
"03";"Elettrico";"Via Farini 9";"ID presidio 3 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 3";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"ID presidio 4 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 4";"REALE"
"XX";"Elettrico";"Via A. Sassi 4";"ID presidio 5 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 5";"REALE"
"05";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"ID presidio 6 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 6";"REALE"
"XX";"Elettrico";"V.le Jenner 44";"ID presidio 7 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 7";"REALE"
"08";"Elettrico";"Via Livigno 3";"ID presidio 8 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 8";"REALE"
"09";"Elettrico";"Via Calvairate 1";"ID presidio 9 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 9";"REALE"
"10";"Elettrico";"Via Polesine 6";"ID presidio 10 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 10";"REALE"
"11b";"Elettrico";"Via Adriano 99 e 107";"ID presidio 11 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 11";"REALE"
"12";"Elettrico";"POT Bollate";"ID presidio 12 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 12";"REALE"
"XX";"Elettrico";"Legnano";"ID presidio 13 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 13";"REALE"
"14";"Elettrico";"viale Piceno 60";"ID presidio 14 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 14";"REALE"
"15";"Elettrico";"via Clericetti 22";"ID presidio 15 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 15";"REALE"
"16";"Elettrico";"via Don Bosco 14";"ID presidio 16 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 16";"REALE"
"17";"Elettrico";"via Fantoli 7";"ID presidio 17 Unità di misura x Servizio";"Periodica";"Normativa vigente";"ID Servizio";"Codice";"ID presidio 17";"REALE"
"XX";"HVAC";"Via A. Doria 52";"2 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"2";"REALE"
"02";"HVAC";"Via Don Orione 2";"4 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"4";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"4 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"4";"REALE"
"XX";"HVAC";"Via A. Sassi 4";"1 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1";"REALE"
"05";"HVAC";"Via Sassi 4 P.ssa Jolanda";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"XX";"HVAC";"V.le Jenner 44";"1 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"3 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"3";"REALE"
"09";"HVAC";"Via Calvairate 1";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"10";"HVAC";"Via Polesine 6";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"11b";"HVAC";"Via Adriano 99 e 107";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"12";"HVAC";"POT Bollate";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"XX";"HVAC";"Legnano";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"14";"HVAC";"viale Piceno 60";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"15";"HVAC";"via Clericetti 22";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
"16";"HVAC";"via Don Bosco 14";"1 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1";"REALE"
"17";"HVAC";"via Fantoli 7";"- n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"-";"REALE"
