"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"01";"HVAC";"Via A. Doria 52";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"3 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"3";"REALE"
"06";"HVAC";"Via Sassi 4 P.ssa Jolanda";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"2";"REALE"
"07";"HVAC";"V.le Jenner 44";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"22";"HVAC";"via Cilea 146A";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"01";"HVAC";"Via A. Doria 52";"3715 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"3715";"REALE"
"02";"HVAC";"Via Don Orione 2";"2412 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"2412";"REALE"
"03";"HVAC";"Via Farini 9";"24 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"24";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"3312 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"3312";"REALE"
"06";"HVAC";"Via Sassi 4 P.ssa Jolanda";"4650 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"4650";"REALE"
"07";"HVAC";"V.le Jenner 44";"295 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"295";"REALE"
"08";"HVAC";"Via Livigno 3";"446 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"446";"REALE"
"15";"HVAC";"via Clericetti 22";"564 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"564";"REALE"
"16";"HVAC";"via Don Bosco 14";"311 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"311";"REALE"
"18";"HVAC";"via Monte Palombino 4";"9 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"9";"REALE"
"19";"HVAC";"via Quarenghi 21";"641 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"641";"REALE"
"21";"HVAC";"via Perini 22";"184 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"184";"REALE"
"22";"HVAC";"via Cilea 146A";"405 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"405";"REALE"
"23";"HVAC";"via R. Sanzio 9";"303 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"303";"REALE"
"01";"Elettrico";"Via A. Doria 52";"4075 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4075";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2967 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"2967";"REALE"
"03";"Elettrico";"Via Farini 9";"5958 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5958";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"4088 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4088";"REALE"
"05";"Elettrico";"Via A. Sassi 4";"523 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"523";"REALE"
"06";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"4650 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4650";"REALE"
"07";"Elettrico";"V.le Jenner 44";"295 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"295";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"6 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"6";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"82";"REALE"
"11b";"Elettrico";"Via Adriano 99 e  7";"575 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"575";"REALE"
