"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"24";"HVAC";"via Statuto 5";"2.00 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"2.00";"REALE"
"26";"HVAC";"via Padova 118";"1.00 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1.00";"REALE"
"28";"HVAC";"C.so Plebisciti 4";"1.00 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1.00";"REALE"
"17";"HVAC";"via Fantoli 7";"2.00 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"2.00";"REALE"
"26";"HVAC";"via Padova 118";"2.00 n.ro caldaie x Caldaie da 350 kW a  00kW";"Periodica";"Normativa vigente";"1.1";"B.01 - B.02 - B.12";"2.00";"REALE"
"27";"HVAC";"L.go Volontari del Sangue 1";"1.00 n.ro caldaie x Caldaie da 350 kW a  00kW";"Periodica";"Normativa vigente";"1.1";"B.01 - B.02 - B.12";"1.00";"REALE"
"24";"HVAC";"via Statuto 5";"1.00 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1.00";"REALE"
"26";"HVAC";"via Padova 118";"1.00 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1.00";"REALE"
"27";"HVAC";"L.go Volontari del Sangue 1";"1.00 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1.00";"REALE"
"29";"HVAC";"via Serlio 8";"1.00 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1.00";"REALE"
"17";"HVAC";"via Fantoli 7";"1.00 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1.00";"REALE"
"24";"HVAC";"via Statuto 5";"4 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"4";"REALE"
"26";"HVAC";"via Padova 118";"2 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"2";"REALE"
"27";"HVAC";"L.go Volontari del Sangue 1";"967.00 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"967.00";"REALE"
"28";"HVAC";"C.so Plebisciti 4";"5 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"5";"REALE"
"29";"HVAC";"via Serlio 8";"958.00 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"958.00";"REALE"
"17";"HVAC";"via Fantoli 7";"4 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"4";"REALE"
"24";"HVAC";"via Statuto 5";"4.00 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"4.00";"REALE"
"26";"HVAC";"via Padova 118";"11.00 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"11.00";"REALE"
"27";"HVAC";"L.go Volontari del Sangue 1";"5.00 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"5.00";"REALE"
"28";"HVAC";"C.so Plebisciti 4";"6.00 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"6.00";"REALE"
"24";"HVAC";"via Statuto 5";"1.00 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1.00";"REALE"
"26";"HVAC";"via Padova 118";"1.00 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1.00";"REALE"
"27";"HVAC";"L.go Volontari del Sangue 1";"3.00 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"3.00";"REALE"
"29";"HVAC";"via Serlio 8";"2.00 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"2.00";"REALE"
"17";"HVAC";"via Fantoli 7";"1.00 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1.00";"REALE"
"26";"HVAC";"via Padova 118";"3  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"3";"REALE"
"27";"HVAC";"L.go Volontari del Sangue 1";"715.00  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"715.00";"REALE"
"28";"HVAC";"C.so Plebisciti 4";"2  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"2";"REALE"
"29";"HVAC";"via Serlio 8";"412.00  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"412.00";"REALE"
"17";"HVAC";"via Fantoli 7";"24.00  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"24.00";"REALE"
"26";"Elettrico";"via Padova 118";"4  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"075.00  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"075.00";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"2  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"2";"REALE"
"29";"Elettrico";"via Serlio 8";"967.00  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"967.00";"REALE"
"17";"Elettrico";"via Fantoli 7";"5  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"1.00 n.ro rifasatori x Rifasatori";"Periodica";"Normativa vigente";"40.1";"C4.02";"1.00";"REALE"
"24";"Elettrico";"via Statuto 5";"43.00 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"43.00";"REALE"
"26";"Elettrico";"via Padova 118";"32.00 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"32.00";"REALE"
