"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"01";"HVAC";"Via A. Doria 52";"2 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"2";"REALE"
"02";"HVAC";"Via Don Orione 2";"4 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"4";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"4 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"4";"REALE"
"05";"HVAC";"Via A. Sassi 4";"1 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"3 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"3";"REALE"
"16";"HVAC";"via Don Bosco 14";"1 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1";"REALE"
"03";"HVAC";"Via Farini 9";"2 n.ro caldaie x Caldaie da 350 kW a  00kW";"Periodica";"Normativa vigente";"1.1";"B.01 - B.02 - B.12";"2";"REALE"
"01";"HVAC";"Via A. Doria 52";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1";"REALE"
"06";"HVAC";"Via Sassi 4 P.ssa Jolanda";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1";"REALE"
"15";"HVAC";"via Clericetti 22";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a  0 kW";"Periodica";"Normativa vigente";" .3";"B.04";"1";"REALE"
"01";"HVAC";"Via A. Doria 52";"4 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"4";"REALE"
"02";"HVAC";"Via Don Orione 2";"075 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.  - B.11";"075";"REALE"
