"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"LAST_DATE";"NEXT_DUE";"NOTE"
"01";"HVAC";"Via A. Doria 52";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"3 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"06";"HVAC";"Via Sassi 4 P.ssa Jolanda";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"07";"HVAC";"V.le Jenner 44";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"22";"HVAC";"via Cilea 146A";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"01";"HVAC";"Via A. Doria 52";"3715 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"02";"HVAC";"Via Don Orione 2";"2412 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
