CODICE;SOTTOCATEGORIA;CATEGORIA;OPERAZIONE;QUANTITA;FREQ_DESCRIZIONE;NORMATIVA;COLONNA_C;COLONNA_D;NOTE
01;Via A. Doria 52;ANTINCENDIO;Estintori;54;Semestrale;UNI 9994-1;45.1;C4;REALE
01;Via A. Doria 52;ANTINCENDIO;Porte Tagliafuoco / REI;90;Semestrale;DM 10/03/98;45.1;C4;REALE
01;Via A. Doria 52;ANTINCENDIO;Idranti / Naspi;21;Semestrale;UNI 10779;45.1;C4;REALE
01;Via A. Doria 52;ANTINCENDIO;Rilevazione Fumi;4055 m2;Semestrale;UNI 11224;45.1;C4;REALE
01;Via A. Doria 52;ANTINCENDIO;Illum. Emergenza;1374 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
01;Via A. Doria 52;ELETTRICI;Quadri e Distribuzione;4075 m2;Annuale;CEI 64-8;45.2;C5;REALE
01;Via A. Doria 52;ELETTRICI;Locali Uso Medico (G1/G2);43;Annuale/Semestrale;CEI 64-8/7-710;45.2;C5;REALE
01;Via A. Doria 52;ELETTRICI;Impianto Terra / Scariche;4075 m2;Biennale;DPR 462/01;45.2;C5;REALE
01;Via A. Doria 52;ELEVATORI;Elevatori (1-5 piani);1;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
01;Via A. Doria 52;ELEVATORI;Elevatori (6-10 piani);3;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
01;Via A. Doria 52;MECCANICI;Caldaie (36-350 kW);2;Mensile/Trimestrale;DPR 74/13;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Gruppi Frigo / Chiller;1;Mensile / Trimestrale;Reg. (UE) 517;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;UTA (Trattamento Aria);1;Trimestrale;Linee Guida;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Addolcitori;1;Settimanale/Mensile;DM 25/12;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Produttori Biossido Cloro;1;Settimanale;Linee Guida;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Pompe Sollevamento;1;Mensile;D.Lgs 81/08;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Distribuzione impianti idronici e sottocentrali;4075 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Condizionatori tipo split/VRV/carrellabili;4;Annuale;Linee Guida;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Distribuzione idrico sanitaria;4075 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Centrali idriche (Vasche);1;Mensile;D.Lgs 31/01;1.2;B.01;REALE
01;Via A. Doria 52;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Annuale;Linee Guida;1.2;B.01;REALE
01;Via A. Doria 52;EDILE;Cancelli e sbarre motorizzati;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
01;Via A. Doria 52;EDILE;Porte automatiche e portoni sezionali;2;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
02;Via Don Orione 2;ANTINCENDIO;Estintori;35;Semestrale;UNI 9994-1;45.1;C4;REALE
02;Via Don Orione 2;ANTINCENDIO;Porte Tagliafuoco / REI;36;Semestrale;DM 10/03/98;45.1;C4;REALE
02;Via Don Orione 2;ANTINCENDIO;Idranti / Naspi;22;Semestrale;UNI 10779;45.1;C4;REALE
02;Via Don Orione 2;ANTINCENDIO;Rilevazione Fumi;2882 m2;Semestrale;UNI 11224;45.1;C4;REALE
02;Via Don Orione 2;ANTINCENDIO;Illum. Emergenza;1133 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
02;Via Don Orione 2;ELETTRICI;Quadri e Distribuzione;2967 m2;Annuale;CEI 64-8;45.2;C5;REALE
02;Via Don Orione 2;ELETTRICI;Locali Uso Medico (G1/G2);23;Annuale/Semestrale;CEI 64-8/7-710;45.2;C5;REALE
02;Via Don Orione 2;ELETTRICI;Impianto Terra / Scariche;2967 m2;Biennale;DPR 462/01;45.2;C5;REALE
02;Via Don Orione 2;ELEVATORI;Elevatori (1-5 piani);2;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
02;Via Don Orione 2;ELEVATORI;Servoscala;1;Semestrale;DPR 162/99;72.1;F1.01;REALE
02;Via Don Orione 2;MECCANICI;Caldaie (36-350 kW);4;Mensile/Trimestrale;DPR 74/13;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Gruppi Frigo / Chiller;2;Mensile / Trimestrale;Reg. (UE) 517;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;UTA (Trattamento Aria);2;Trimestrale;Linee Guida;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Addolcitori;1;Settimanale/Mensile;DM 25/12;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Produttori Biossido Cloro;1;Settimanale;Linee Guida;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Pompe Sollevamento;1;Mensile;D.Lgs 81/08;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Distribuzione impianti idronici e sottocentrali;2967 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Distribuzione idrico sanitaria;2967 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
02;Via Don Orione 2;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Annuale;Linee Guida;1.2;B.01;REALE
02;Via Don Orione 2;EDILE;Porte automatiche e portoni sezionali;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
03;Via Farini 9;ANTINCENDIO;Estintori;65;Semestrale;UNI 9994-1;45.1;C4;REALE
03;Via Farini 9;ANTINCENDIO;Porte Tagliafuoco / REI;59;Semestrale;DM 10/03/98;45.1;C4;REALE
03;Via Farini 9;ANTINCENDIO;Idranti / Naspi;18;Semestrale;UNI 10779;45.1;C4;REALE
03;Via Farini 9;ANTINCENDIO;Rilevazione Fumi;5580 m2;Semestrale;UNI 11224;45.1;C4;REALE
03;Via Farini 9;ANTINCENDIO;Illum. Emergenza;1399 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
03;Via Farini 9;ELETTRICI;Quadri e Distribuzione;5958 m2;Annuale;CEI 64-8;45.2;C5;REALE
03;Via Farini 9;ELETTRICI;Locali Uso Medico (G1/G2);32;Annuale/Semestrale;CEI 64-8/7-710;45.2;C5;REALE
03;Via Farini 9;ELETTRICI;Impianto Terra / Scariche;5958 m2;Biennale;DPR 462/01;45.2;C5;REALE
03;Via Farini 9;ELEVATORI;Elevatori (1-5 piani);3;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
03;Via Farini 9;ELEVATORI;Elevatori (6-10 piani);1;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
03;Via Farini 9;MECCANICI;Caldaie (>350 kW);2;Settimanale;DPR 74/13;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Gruppi Frigo / Chiller;1;Mensile / Trimestrale;Reg. (UE) 517;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;UTA (Trattamento Aria);1;Trimestrale;Linee Guida;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Addolcitori;1;Settimanale/Mensile;DM 25/12;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Produttori Biossido Cloro;1;Settimanale;Linee Guida;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Distribuzione impianti idronici e sottocentrali;5958 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Condizionatori tipo split/VRV/carrellabili;11;Annuale;Linee Guida;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Distribuzione idrico sanitaria;5958 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Centrali idriche (Vasche);1;Mensile;D.Lgs 31/01;1.2;B.01;REALE
03;Via Farini 9;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Annuale;Linee Guida;1.2;B.01;REALE
03;Via Farini 9;EDILE;Cancelli e sbarre motorizzati;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
04;Via Rugabella 4/6;ANTINCENDIO;Estintori;58;Semestrale;UNI 9994-1;45.1;C4;REALE
04;Via Rugabella 4/6;ANTINCENDIO;Porte Tagliafuoco / REI;43;Semestrale;DM 10/03/98;45.1;C4;REALE
04;Via Rugabella 4/6;ANTINCENDIO;Idranti / Naspi;26;Semestrale;UNI 10779;45.1;C4;REALE
04;Via Rugabella 4/6;ANTINCENDIO;Rilevazione Fumi;4068 m2;Semestrale;UNI 11224;45.1;C4;REALE
04;Via Rugabella 4/6;ANTINCENDIO;Illum. Emergenza;1470 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
04;Via Rugabella 4/6;ANTINCENDIO;Centrale Pressurizzazione;1;Settimanale / Mensile;UNI EN 12845;45.1;C4;REALE
04;Via Rugabella 4/6;ELETTRICI;Quadri e Distribuzione;4088 m2;Annuale;CEI 64-8;45.2;C5;REALE
04;Via Rugabella 4/6;ELETTRICI;Locali Uso Medico (G1/G2);22;Annuale/Semestrale;CEI 64-8/7-710;45.2;C5;REALE
04;Via Rugabella 4/6;ELETTRICI;Impianto Terra / Scariche;4088 m2;Biennale;DPR 462/01;45.2;C5;REALE
04;Via Rugabella 4/6;ELETTRICI;Rifasatori;1;Semestrale;Norme CEI;45.2;C5;REALE
04;Via Rugabella 4/6;ELEVATORI;Elevatori (6-10 piani);2;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
04;Via Rugabella 4/6;MECCANICI;Caldaie (36-350 kW);4;Mensile/Trimestrale;DPR 74/13;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Gruppi Frigo / Chiller;1;Mensile / Trimestrale;Reg. (UE) 517;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;UTA (Trattamento Aria);3;Trimestrale;Linee Guida;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Addolcitori;2;Settimanale/Mensile;DM 25/12;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Produttori Biossido Cloro;1;Settimanale;Linee Guida;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Pompe Sollevamento;2;Mensile;D.Lgs 81/08;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Distribuzione impianti idronici e sottocentrali;4088 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Ventilconvettori;10;Annuale;Linee Guida;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Condizionatori tipo split/VRV/carrellabili;5;Annuale;Linee Guida;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Distribuzione idrico sanitaria;4088 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Centrali idriche (Vasche);1;Mensile;D.Lgs 31/01;1.2;B.01;REALE
04;Via Rugabella 4/6;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Annuale;Linee Guida;1.2;B.01;REALE
04;Via Rugabella 4/6;EDILE;Cancelli e sbarre motorizzati;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
05;Via A. Sassi 4;ANTINCENDIO;Estintori;7;Semestrale;UNI 9994-1;45.1;C4;REALE
05;Via A. Sassi 4;ANTINCENDIO;Porte Tagliafuoco / REI;2;Semestrale;DM 10/03/98;45.1;C4;REALE
05;Via A. Sassi 4;ANTINCENDIO;Rilevazione Fumi;520 m2;Semestrale;UNI 11224;45.1;C4;REALE
05;Via A. Sassi 4;ANTINCENDIO;Illum. Emergenza;158 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
05;Via A. Sassi 4;ELETTRICI;Quadri e Distribuzione;523 m2;Annuale;CEI 64-8;45.2;C5;REALE
05;Via A. Sassi 4;ELETTRICI;Locali Uso Medico (G1/G2);8;Annuale/Semestrale;CEI 64-8/7-710;45.2;C5;REALE
05;Via A. Sassi 4;ELETTRICI;Impianto Terra / Scariche;523 m2;Biennale;DPR 462/01;45.2;C5;REALE
05;Via A. Sassi 4;ELEVATORI;Elevatori (1-5 piani);2;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
05;Via A. Sassi 4;MECCANICI;Caldaie (36-350 kW);1;Mensile/Trimestrale;DPR 74/13;1.2;B.01;REALE
05;Via A. Sassi 4;MECCANICI;Produttori Biossido Cloro;1;Settimanale;Linee Guida;1.2;B.01;REALE
05;Via A. Sassi 4;MECCANICI;Pompe Sollevamento;1;Mensile;D.Lgs 81/08;1.2;B.01;REALE
05;Via A. Sassi 4;MECCANICI;Distribuzione impianti idronici e sottocentrali;523 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
05;Via A. Sassi 4;MECCANICI;Condizionatori tipo split/VRV/carrellabili;6;Annuale;Linee Guida;1.2;B.01;REALE
05;Via A. Sassi 4;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
05;Via A. Sassi 4;MECCANICI;Distribuzione idrico sanitaria;523 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
05;Via A. Sassi 4;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Annuale;Linee Guida;1.2;B.01;REALE
05;Via A. Sassi 4;EDILE;Cancelli e sbarre motorizzati;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;ANTINCENDIO;Estintori;40;Semestrale;UNI 9994-1;45.1;C4;REALE
06;^Via Sassi 4 P.ssa Jolanda;ANTINCENDIO;Rilevazione Fumi;4650 m2;Semestrale;UNI 11224;45.1;C4;REALE
06;^Via Sassi 4 P.ssa Jolanda;ANTINCENDIO;Illum. Emergenza;4650 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
06;^Via Sassi 4 P.ssa Jolanda;ELETTRICI;Quadri e Distribuzione;4650 m2;Annuale;CEI 64-8;45.2;C5;REALE
06;^Via Sassi 4 P.ssa Jolanda;ELETTRICI;Locali Uso Medico (G1/G2);34;Annuale/Semestrale;CEI 64-8/7-710;45.2;C5;REALE
06;^Via Sassi 4 P.ssa Jolanda;ELETTRICI;Impianto Terra / Scariche;4650 m2;Biennale;DPR 462/01;45.2;C5;REALE
06;^Via Sassi 4 P.ssa Jolanda;ELEVATORI;Elevatori (1-5 piani);3;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;MECCANICI;Pompe Sollevamento;2;Mensile;D.Lgs 81/08;1.2;B.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;MECCANICI;Distribuzione impianti idronici e sottocentrali;4650 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;MECCANICI;Condizionatori tipo split/VRV/carrellabili;1;Annuale;Linee Guida;1.2;B.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;MECCANICI;Distribuzione idrico sanitaria;4650 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;MECCANICI;Prove della legionella della rete idrico-sanitaria;10;Annuale;Linee Guida;1.2;B.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;EDILE;Cancelli e sbarre motorizzati;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
06;^Via Sassi 4 P.ssa Jolanda;EDILE;Porte automatiche e portoni sezionali;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
07;V.le Jenner 44;ANTINCENDIO;Estintori;3;Semestrale;UNI 9994-1;45.1;C4;REALE
07;V.le Jenner 44;ANTINCENDIO;Porte Tagliafuoco / REI;4;Semestrale;DM 10/03/98;45.1;C4;REALE
07;V.le Jenner 44;ANTINCENDIO;Rilevazione Fumi;295 m2;Semestrale;UNI 11224;45.1;C4;REALE
07;V.le Jenner 44;ANTINCENDIO;Illum. Emergenza;295 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
07;V.le Jenner 44;ELETTRICI;Quadri e Distribuzione;295 m2;Annuale;CEI 64-8;45.2;C5;REALE
07;V.le Jenner 44;ELETTRICI;Impianto Terra / Scariche;295 m2;Biennale;DPR 462/01;45.2;C5;REALE
07;V.le Jenner 44;ELEVATORI;Elevatori (1-5 piani);1;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
07;V.le Jenner 44;MECCANICI;Caldaie (36-350 kW);1;Mensile/Trimestrale;DPR 74/13;1.2;B.01;REALE
07;V.le Jenner 44;MECCANICI;Addolcitori;1;Settimanale/Mensile;DM 25/12;1.2;B.01;REALE
07;V.le Jenner 44;MECCANICI;Distribuzione impianti idronici e sottocentrali;295 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
07;V.le Jenner 44;MECCANICI;Condizionatori tipo split/VRV/carrellabili;1;Annuale;Linee Guida;1.2;B.01;REALE
07;V.le Jenner 44;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
07;V.le Jenner 44;MECCANICI;Distribuzione idrico sanitaria;295 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
07;V.le Jenner 44;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Annuale;Linee Guida;1.2;B.01;REALE
07;V.le Jenner 44;EDILE;Cancelli e sbarre motorizzati;1;Semestrale;D.Lgs 81/08;81.1;G1.01;REALE
08;Via Livigno 3;ANTINCENDIO;Estintori;11;Semestrale;UNI 9994-1;45.1;C4;REALE
08;Via Livigno 3;ANTINCENDIO;Rilevazione Fumi;446 m2;Semestrale;UNI 11224;45.1;C4;REALE
08;Via Livigno 3;ANTINCENDIO;Illum. Emergenza;446 m2;Semestrale;UNI EN 1838;45.1;C4;REALE
08;Via Livigno 3;ELETTRICI;Quadri e Distribuzione;446 m2;Annuale;CEI 64-8;45.2;C5;REALE
08;Via Livigno 3;ELETTRICI;Impianto Terra / Scariche;446 m2;Biennale;DPR 462/01;45.2;C5;REALE
08;Via Livigno 3;ELEVATORI;Elevatori (1-5 piani);1;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
08;Via Livigno 3;MECCANICI;Caldaie (36-350 kW);3;Mensile/Trimestrale;DPR 74/13;1.2;B.01;REALE
08;Via Livigno 3;MECCANICI;Pompe Sollevamento;1;Mensile;D.Lgs 81/08;1.2;B.01;REALE
08;Via Livigno 3;MECCANICI;Distribuzione impianti idronici e sottocentrali;446 m2;Annuale;Norme Tecniche;1.2;B.01;REALE
08;Via Livigno 3;MECCANICI;Condizionatori tipo split/VRV/carrellabili;1;Annuale;Linee Guida;1.2;B.01;REALE
08;Via Livigno 3;MECCANICI;Canali di distribuzione; ripresa; serrande;Annuale;1.2;B.01;REALE
08;Via Livigno 3;MECCANICI;Distribuzione idrico sanitaria;446 m2;Annuale;D.Lgs 31/01;1.2;B.01;REALE
08;Via Livigno 3;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Annuale;Linee Guida;1.2;B.01;REALE
XX;ANTINCENDIO;Estintori;2;Via Calvairate 1;Semestrale;UNI 9994-1;TBD;TBD;REALE
XX;ANTINCENDIO;Porte Tagliafuoco / REI;7;Via Calvairate 1;Semestrale;DM 10/03/98;TBD;TBD;REALE
XX;ANTINCENDIO;Idranti / Naspi;0;Via Calvairate 1;Semestrale;UNI 10779;TBD;TBD;REALE
XX;ANTINCENDIO;Rilevazione Fumi;106 m2;Via Calvairate 1;Semestrale;UNI 11224;TBD;TBD;REALE
XX;ANTINCENDIO;Illum. Emergenza;106 m2;Via Calvairate 1;Semestrale;UNI EN 1838;TBD;TBD;REALE
XX;ANTINCENDIO;Centrale Pressurizzazione;0;Via Calvairate 1;Settimanale / Mensile;UNI EN 12845;TBD;TBD;REALE
XX;ELETTRICI;Quadri e Distribuzione;106 m2;Via Calvairate 1;Annuale;CEI 64-8;TBD;TBD;REALE
XX;ELETTRICI;Locali Uso Medico (G1/G2);2;Via Calvairate 1;Annuale/Semestrale;CEI 64-8/7-710;TBD;TBD;REALE
XX;ELETTRICI;Impianto Terra / Scariche;106 m2;Via Calvairate 1;Biennale;DPR 462/01;TBD;TBD;REALE
XX;ELETTRICI;Rifasatori;0;Via Calvairate 1;Semestrale;Norme CEI;TBD;TBD;REALE
XX;ELEVATORI;Elevatori (1-5 piani);0;Via Calvairate 1;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
XX;ELEVATORI;Elevatori (6-10 piani);0;Via Calvairate 1;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
XX;ELEVATORI;Servoscala;0;Via Calvairate 1;Semestrale;DPR 162/99;TBD;TBD;REALE
XX;MECCANICI;Caldaie (36-350 kW);0;Via Calvairate 1;Mensile/Trimestrale;DPR 74/13;TBD;TBD;REALE
XX;MECCANICI;Caldaie (>350 kW);0;Via Calvairate 1;Settimanale;DPR 74/13;TBD;TBD;REALE
XX;MECCANICI;Gruppi Frigo / Chiller;0;Via Calvairate 1;Mensile / Trimestrale;Reg. (UE) 517;TBD;TBD;REALE
XX;MECCANICI;UTA (Trattamento Aria);4;Via Calvairate 1;Trimestrale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Addolcitori;0;Via Calvairate 1;Settimanale/Mensile;DM 25/12;TBD;TBD;REALE
XX;MECCANICI;Produttori Biossido Cloro;0;Via Calvairate 1;Settimanale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Pompe Sollevamento;0;Via Calvairate 1;Mensile;D.Lgs 81/08;TBD;TBD;REALE
XX;MECCANICI;Distribuzione impianti idronici e sottocentrali;106 m2;Via Calvairate 1;Annuale;Norme Tecniche;TBD;TBD;REALE
XX;MECCANICI;Ventilconvettori;0;Via Calvairate 1;Annuale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Condizionatori tipo split/VRV/carrellabili;0;Via Calvairate 1;Annuale;Linee Guida;TBD;TBD;REALE
XX;MECCANICI;Canali di distribuzione; ripresa; serrande;0;Annuale;TBD;TBD;REALE
XX;MECCANICI;Distribuzione idrico sanitaria;106 m2;Via Calvairate 1;Annuale;D.Lgs 31/01;TBD;TBD;REALE
XX;MECCANICI;Centrali idriche (Vasche);0;Via Calvairate 1;Mensile;D.Lgs 31/01;TBD;TBD;REALE
XX;MECCANICI;Prove della legionella della rete idrico-sanitaria;3;Via Calvairate 1;Annuale;Linee Guida;TBD;TBD;REALE
XX;EDILE;Cancelli e sbarre motorizzati;0;Via Calvairate 1;Semestrale;D.Lgs 81/08;TBD;TBD;REALE
XX;EDILE;Porte automatiche e portoni sezionali;0;Via Calvairate 1;Semestrale;D.Lgs 81/08;TBD;TBD;REALE
XX;ANTINCENDIO;Estintori;1;Via Polesine 6;Semestrale;UNI 9994-1;TBD;TBD;REALE
XX;ANTINCENDIO;Porte Tagliafuoco / REI;3;Via Polesine 6;Semestrale;DM 10/03/98;TBD;TBD;REALE
XX;ANTINCENDIO;Idranti / Naspi;0;Via Polesine 6;Semestrale;UNI 10779;TBD;TBD;REALE
XX;ANTINCENDIO;Rilevazione Fumi;82 m2;Via Polesine 6;Semestrale;UNI 11224;TBD;TBD;REALE
XX;ANTINCENDIO;Illum. Emergenza;82 m2;Via Polesine 6;Semestrale;UNI EN 1838;TBD;TBD;REALE
XX;ANTINCENDIO;Centrale Pressurizzazione;0;Via Polesine 6;Settimanale / Mensile;UNI EN 12845;TBD;TBD;REALE
XX;ELETTRICI;Quadri e Distribuzione;82 m2;Via Polesine 6;Annuale;CEI 64-8;TBD;TBD;REALE
XX;ELETTRICI;Locali Uso Medico (G1/G2);1;Via Polesine 6;Annuale/Semestrale;CEI 64-8/7-710;TBD;TBD;REALE
XX;ELETTRICI;Impianto Terra / Scariche;82 m2;Via Polesine 6;Biennale;DPR 462/01;TBD;TBD;REALE
XX;ELETTRICI;Rifasatori;0;Via Polesine 6;Semestrale;Norme CEI;TBD;TBD;REALE
XX;ELEVATORI;Elevatori (1-5 piani);0;Via Polesine 6;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
XX;ELEVATORI;Elevatori (6-10 piani);0;Via Polesine 6;Mensile / Semestrale;DPR 162/99;72.1;F1.01;REALE
XX;ELEVATORI;Servoscala;0;Via Polesine 6;Semestrale;DPR 162/99;TBD;TBD;REALE
XX;MECCANICI;Caldaie (36-350 kW);0;Via Polesine 6;Mensile/Trimestrale;DPR 74/13;TBD;TBD;REALE
