"Sito";"Sistema";"Attivita";"Frequenza";"Stato_Attuale";"Azione_Richiesta"
"Via A. Doria 52";"HVAC";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"HVAC";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"HVAC";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"HVAC";"3 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"HVAC";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"V.le Jenner 44";"HVAC";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"HVAC";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"HVAC";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"HVAC";"3715 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"HVAC";"2412 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"HVAC";"24 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"HVAC";"3312 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"HVAC";"4650 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"V.le Jenner 44";"HVAC";"295 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"HVAC";"446 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Clericetti 22";"HVAC";"564 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Don Bosco 14";"HVAC";"311 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"HVAC";"9 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Quarenghi 21";"HVAC";"641 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"HVAC";"184 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"HVAC";"405 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"HVAC";"303 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Elettrico";"4075 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"Elettrico";"2967 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Elettrico";"5958 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Elettrico";"4088 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Sassi 4";"Elettrico";"523 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"Elettrico";"4650 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"V.le Jenner 44";"Elettrico";"295 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Elettrico";"446 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Calvairate 1";"Elettrico";"6 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Polesine 6";"Elettrico";"82 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Adriano 99 e  7";"Elettrico";"575 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"POT Bollate";"Elettrico";"1831 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Clericetti 22";"Elettrico";"564 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
