ID_Folder;Nome_Sito;Indirizzo;Sistema;Sottocategoria;Attivita;Frequenza;Quantita;Stato_Documentale;Note;Data_Ultimo_Intervento
1;Via Doria 52;Via Andrea Doria 52;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
2;Via Don Orione 2;Via Don Orione 2;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 2;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 3;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
4;Via Rugabella 4/6;Via Rugabella 4;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 4;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 5;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
6;Via Sassi 4 - Principessa Jolanda;Via Sassi 4;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 6;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
7;Viale Jenner 44;Viale Jenner 44;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 7;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
8;Via Livigno 3;Via Livigno 3;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 8;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
9;Via Calvairate 1;Via Calvairate 1;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 9;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
10;Via Polesine 6;Via Polesine 6;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 10;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
11;Via Adriano 99/107;Via Adriano 99;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 11;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
12;POT Bollate;Via (Bollate);ID Servizio;Codice;Servizio;Unità di misura;ID presidio 12;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
13;Legnano;TBD;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 13;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
14;Viale Piceno 60;Viale Piceno 60;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 14;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
15;Via Clericetti 22;Via Clericetti 22;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 15;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
16;Via Don Bosco 14;Via Don Bosco 14;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 16;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
17;Via Fantoli 7;Via Fantoli 7;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 17;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
18;Via Palombino 4;Via Monte Palombino 4;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 18;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
19;Via Quarenghi 21;Via Quarenghi 21;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 19;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
20;Via Aldini 72;Via Aldini 72;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 20;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
21;Via Perini 22;Via Perini 22;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 21;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
22;Via Cilea 146A;Via Francesco Cilea 146A;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 22;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
23;Via Sanzio 9;Via Raffaello Sanzio 9;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 23;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
24;Via Statuto 5;Via Statuto 5;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 24;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
25;Via S. Erlemblado 4D;Via S. Erlemblado 4D;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 25;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
26;Via Padova 118;Via Padova 118;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 26;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
27;L.go Volontari del sangue 1;Largo Volontari del Sangue 1;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 27;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
28;Via Plebisciti 4;Corso Plebisciti 4;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 28;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
29;Via Serlio 8;Via Serlio 8;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 29;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
30;Via Fantoli 7 - Consultorio;Via Fantoli 7;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 30;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
31;V.le Puglie 33;Viale Puglie 33;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 31;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
32;Via Natta 19;Via Giulio Natta 19;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 32;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
33;via Oglio 18;via Oglio 18;ID Servizio;Codice;Servizio;Unità di misura;ID presidio 33;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
1;Via Doria 52;Via Andrea Doria 52;1.2;B.01 - B.02 - B.12;Caldaie da 36kW a 350 kW;n.ro caldaie;2;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
2;Via Don Orione 2;Via Don Orione 2;1.2;B.01 - B.02 - B.12;Caldaie da 36kW a 350 kW;n.ro caldaie;4;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;1.2;B.01 - B.02 - B.12;Caldaie da 36kW a 350 kW;n.ro caldaie;4;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;1.2;B.01 - B.02 - B.12;Caldaie da 36kW a 350 kW;n.ro caldaie;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
7;Viale Jenner 44;Viale Jenner 44;1.2;B.01 - B.02 - B.12;Caldaie da 36kW a 350 kW;n.ro caldaie;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
8;Via Livigno 3;Via Livigno 3;1.2;B.01 - B.02 - B.12;Caldaie da 36kW a 350 kW;n.ro caldaie;3;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
16;Via Don Bosco 14;Via Don Bosco 14;1.2;B.01 - B.02 - B.12;Caldaie da 36kW a 350 kW;n.ro caldaie;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;1.1;B.01 - B.02 - B.12;Caldaie da 350 kW a 1000kW;n.ro caldaie;2;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
1;Via Doria 52;Via Andrea Doria 52;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
2;Via Don Orione 2;Via Don Orione 2;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;2;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
7;Viale Jenner 44;Viale Jenner 44;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
8;Via Livigno 3;Via Livigno 3;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
15;Via Clericetti 22;Via Clericetti 22;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
22;Via Cilea 146A;Via Francesco Cilea 146A;13.3;B.04;Gruppi frigoriferi a vite/centrifughi fino a 100 kW;n.ro gruppo frigorifero;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
1;Via Doria 52;Via Andrea Doria 52;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;4.075;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
2;Via Don Orione 2;Via Don Orione 2;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;2.967;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;5.958;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;4.088;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;523;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;4.650;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
7;Viale Jenner 44;Viale Jenner 44;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;295;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
8;Via Livigno 3;Via Livigno 3;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;446;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
9;Via Calvairate 1;Via Calvairate 1;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;106;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
10;Via Polesine 6;Via Polesine 6;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;82;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
12;POT Bollate;Via (Bollate);3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;1.831;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
14;Viale Piceno 60;Viale Piceno 60;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;1.095;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
15;Via Clericetti 22;Via Clericetti 22;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;564;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
16;Via Don Bosco 14;Via Don Bosco 14;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;311;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
18;Via Palombino 4;Via Monte Palombino 4;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;109;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
19;Via Quarenghi 21;Via Quarenghi 21;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;641;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
20;Via Aldini 72;Via Aldini 72;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;5.508;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
21;Via Perini 22;Via Perini 22;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;184;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
22;Via Cilea 146A;Via Francesco Cilea 146A;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;405;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
