"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"02";"HVAC";"Via Don Orione 2";"4 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"4";"REALE"
"08";"HVAC";"Via Livigno 3";"3 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"3";"REALE"
"16";"HVAC";"via Don Bosco 14";"1 n.ro caldaie x Caldaie da 36kW a 350 kW";"Periodica";"Normativa vigente";"1.2";"B.01 - B.02 - B.12";"1";"REALE"
"03";"HVAC";"Via Farini 9";"2 n.ro caldaie x Caldaie da 350 kW a 1000kW";"Periodica";"Normativa vigente";"1.1";"B.01 - B.02 - B.12";"2";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"15";"HVAC";"via Clericetti 22";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"22";"HVAC";"via Cilea 146A";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2967 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"2967";"REALE"
"03";"HVAC";"Via Farini 9";"5958 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"5958";"REALE"
"08";"HVAC";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"446";"REALE"
"09";"HVAC";"Via Calvairate 1";"106 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"106";"REALE"
"10";"HVAC";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"82";"REALE"
"12";"HVAC";"POT Bollate";"1831 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"1831";"REALE"
"14";"HVAC";"viale Piceno 60";"1095 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"1095";"REALE"
"15";"HVAC";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"564";"REALE"
"16";"HVAC";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"311";"REALE"
"18";"HVAC";"via Monte Palombino 4";"109 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"109";"REALE"
"19";"HVAC";"via Quarenghi 21";"641 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"641";"REALE"
"20";"HVAC";"via Aldini 72";"5508 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"5508";"REALE"
"21";"HVAC";"via Perini 22";"184 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"184";"REALE"
"22";"HVAC";"via Cilea 146A";"405 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"405";"REALE"
"03";"HVAC";"Via Farini 9";"11 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"11";"REALE"
"09";"HVAC";"Via Calvairate 1";"4 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"4";"REALE"
"10";"HVAC";"Via Polesine 6";"2 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"2";"REALE"
"12";"HVAC";"POT Bollate";"26 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"26";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"1";"REALE"
"22";"HVAC";"via Cilea 146A";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2412 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"2412";"REALE"
"03";"HVAC";"Via Farini 9";"2410 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"2410";"REALE"
"08";"HVAC";"Via Livigno 3";"446 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"446";"REALE"
"15";"HVAC";"via Clericetti 22";"564 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"564";"REALE"
"16";"HVAC";"via Don Bosco 14";"311 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"311";"REALE"
"18";"HVAC";"via Monte Palombino 4";"109 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"109";"REALE"
"19";"HVAC";"via Quarenghi 21";"641 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"641";"REALE"
"21";"HVAC";"via Perini 22";"184 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"184";"REALE"
"22";"HVAC";"via Cilea 146A";"405 m2 superficie lorda climatizzata (presenti ricambi d'aria) x Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11";"405";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2967 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"2967";"REALE"
"03";"Elettrico";"Via Farini 9";"5958 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5958";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"106 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"106";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"82";"REALE"
"12";"Elettrico";"POT Bollate";"1831 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"1831";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"564";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"311";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"109 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"109";"REALE"
"19";"Elettrico";"via Quarenghi 21";"641 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"641";"REALE"
"20";"Elettrico";"via Aldini 72";"5508 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5508";"REALE"
"21";"Elettrico";"via Perini 22";"184 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"184";"REALE"
"22";"Elettrico";"via Cilea 146A";"405 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"405";"REALE"
"24";"Elettrico";"via Statuto 5";"638 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"638";"REALE"
"26";"Elettrico";"via Padova 118";"275 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"275";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"677 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"677";"REALE"
"29";"Elettrico";"via Serlio 8";"437 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"437";"REALE"
"31";"Elettrico";"viale Puglie 33";"370 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"370";"REALE"
"32";"Elettrico";"via Natta 19";"395 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"395";"REALE"
"02";"Elettrico";"Via Don Orione 2";"23 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"23";"REALE"
"03";"Elettrico";"Via Farini 9";"32 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"32";"REALE"
"09";"Elettrico";"Via Calvairate 1";"2 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"2";"REALE"
"10";"Elettrico";"Via Polesine 6";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"1";"REALE"
"12";"Elettrico";"POT Bollate";"5 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"5";"REALE"
"15";"Elettrico";"via Clericetti 22";"9 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"9";"REALE"
"16";"Elettrico";"via Don Bosco 14";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"4";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"3 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"3";"REALE"
"19";"Elettrico";"via Quarenghi 21";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"4";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"1";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2967 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"2967";"REALE"
"03";"Elettrico";"Via Farini 9";"5958 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"5958";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"106 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"106";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"82";"REALE"
"12";"Elettrico";"POT Bollate";"1831 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"1831";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"564";"REALE"
