"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"01";"ANTINCENDIO";"Via A. Doria 52";"54 x Estintori";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994-1";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"01";"ANTINCENDIO";"Via A. Doria 52";"90 x Porte Tagliafuoco / REI";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"DM 10/03/98";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"01";"ANTINCENDIO";"Via A. Doria 52";"21 x Idranti / Naspi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 10779";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"01";"ANTINCENDIO";"Via A. Doria 52";"4055 m2 x Rilevazione Fumi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"01";"ANTINCENDIO";"Via A. Doria 52";"1374 m2 x Illum. Emergenza";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI EN 1838";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"01";"ELETTRICI";"Via A. Doria 52";"4075 m2 x Quadri e Distribuzione";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8";"";"CodC: 45.2 | CodD: C5 | REALE";"REALE";""
"01";"ELETTRICI";"Via A. Doria 52";"43 x Locali Uso Medico (G1/G2)";"";"";"";"";"";"X";"";"";"";"Annuale/Semestrale";"";"";"CEI 64-8/7-710";"";"CodC: 45.2 | CodD: C5 | REALE";"REALE";""
"01";"ELETTRICI";"Via A. Doria 52";"4075 m2 x Impianto Terra / Scariche";"";"";"";"";"";"";"";"X";"";"Biennale";"";"";"DPR 462/01";"";"CodC: 45.2 | CodD: C5 | REALE";"REALE";""
"01";"ELEVATORI";"Via A. Doria 52";"1 x Elevatori (1-5 piani)";"";"";"";"X";"";"";"";"";"";"Mensile / Semestrale";"";"";"DPR 162/99";"";"CodC: 72.1 | CodD: F1.01 | REALE";"REALE";""
"01";"ELEVATORI";"Via A. Doria 52";"3 x Elevatori (6-10 piani)";"";"";"";"X";"";"";"";"";"";"Mensile / Semestrale";"";"";"DPR 162/99";"";"CodC: 72.1 | CodD: F1.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"2 x Caldaie (36-350 kW)";"";"";"";"X";"";"";"";"";"";"Mensile/Trimestrale";"";"";"DPR 74/13";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
